date,tmean_c,tmax_c,tmin_c,dtr_c,relative_humidity_pct,soil_moisture_0_7cm_m3m3,gdd_base10,heat_day_tmax_ge35,cold_day_tmin_lt13,available_grid_count
2023-02-23,18.885714285714283,23.571428571428573,14.257142857142856,9.314285714285717,73.14285714285714,0.3018571428571429,8.885714285714283,0,0,7
2023-02-24,15.700000000000001,17.571428571428573,14.271428571428572,3.3000000000000007,68.85714285714286,0.29700000000000004,5.700000000000001,0,0,7
2023-02-25,15.571428571428571,20.114285714285717,11.857142857142858,8.25714285714286,49.285714285714285,0.2894285714285714,5.571428571428571,0,1,7
2023-02-26,14.485714285714286,19.414285714285715,10.200000000000001,9.214285714285714,53.142857142857146,0.27814285714285714,4.485714285714286,0,1,7
2023-02-27,15.428571428571429,21.8,9.214285714285714,12.585714285714287,60.714285714285715,0.2691428571428572,5.428571428571429,0,1,7
2023-02-28,17.585714285714285,24.900000000000002,11.314285714285715,13.585714285714287,67.0,0.2611428571428572,7.585714285714285,0,1,7
2023-03-01,18.585714285714285,23.857142857142858,12.942857142857141,10.914285714285716,73.71428571428571,0.25514285714285717,8.585714285714285,0,1,7
2023-03-02,19.87142857142857,24.314285714285713,15.557142857142859,8.757142857142854,58.714285714285715,0.2507142857142857,9.87142857142857,0,0,7
2023-03-03,19.157142857142855,23.428571428571427,15.471428571428572,7.9571428571428555,68.71428571428571,0.24557142857142858,9.157142857142855,0,0,7
2023-03-04,19.157142857142855,23.857142857142858,14.914285714285715,8.942857142857143,61.714285714285715,0.2414285714285714,9.157142857142855,0,0,7
2023-03-05,20.37142857142857,24.914285714285715,14.857142857142858,10.057142857142857,64.57142857142857,0.2367142857142857,10.37142857142857,0,0,7
2023-03-06,20.714285714285715,25.37142857142857,16.6,8.771428571428569,63.714285714285715,0.23228571428571426,10.714285714285715,0,0,7
2023-03-07,20.87142857142857,25.414285714285715,16.771428571428572,8.642857142857142,63.142857142857146,0.2287142857142857,10.87142857142857,0,0,7
2023-03-08,21.400000000000002,26.142857142857142,17.142857142857142,9.0,70.0,0.22642857142857142,11.400000000000002,0,0,7
2023-03-09,22.400000000000002,27.900000000000002,17.185714285714287,10.714285714285715,65.42857142857143,0.22357142857142856,12.400000000000002,0,0,7
2023-03-10,22.485714285714288,28.62857142857143,16.857142857142858,11.771428571428572,65.71428571428571,0.21814285714285717,12.485714285714288,0,0,7
2023-03-11,22.071428571428573,26.271428571428572,18.02857142857143,8.242857142857144,71.0,0.21485714285714286,12.071428571428573,0,0,7
2023-03-12,20.585714285714285,25.585714285714285,16.485714285714288,9.099999999999998,71.28571428571429,0.228,10.585714285714285,0,0,7
2023-03-13,17.642857142857142,21.0,15.785714285714286,5.2142857142857135,43.857142857142854,0.24414285714285716,7.642857142857142,0,0,7
2023-03-14,19.67142857142857,26.457142857142856,13.928571428571429,12.528571428571427,59.0,0.23628571428571427,9.67142857142857,0,0,7
2023-03-15,20.614285714285717,24.32857142857143,17.0,7.328571428571429,80.42857142857143,0.23514285714285713,10.614285714285717,0,0,7
2023-03-16,21.87142857142857,25.714285714285715,17.771428571428572,7.942857142857143,76.28571428571429,0.24271428571428572,11.87142857142857,0,0,7
2023-03-17,21.82857142857143,26.042857142857144,17.2,8.842857142857145,78.0,0.24214285714285716,11.82857142857143,0,0,7
2023-03-18,22.285714285714285,26.114285714285717,17.97142857142857,8.142857142857146,76.71428571428571,0.24071428571428571,12.285714285714285,0,0,7
2023-03-19,22.400000000000002,26.442857142857143,18.785714285714285,7.657142857142858,78.57142857142857,0.24157142857142858,12.400000000000002,0,0,7
2023-03-20,23.014285714285712,27.842857142857145,19.02857142857143,8.814285714285717,79.85714285714286,0.23985714285714285,13.014285714285712,0,0,7
2023-03-21,25.514285714285712,31.314285714285713,21.014285714285712,10.3,77.14285714285714,0.2352857142857143,15.514285714285712,0,0,7
2023-03-22,28.085714285714285,34.82857142857143,22.25714285714286,12.57142857142857,65.57142857142857,0.22657142857142856,18.085714285714285,0,0,7
2023-03-23,28.142857142857142,34.75714285714286,22.885714285714283,11.871428571428577,66.28571428571429,0.22057142857142858,18.142857142857142,0,0,7
2023-03-24,24.585714285714285,27.37142857142857,21.285714285714285,6.085714285714285,76.28571428571429,0.22171428571428572,14.585714285714285,0,0,7
2023-03-25,19.557142857142857,21.74285714285714,16.914285714285715,4.828571428571426,79.0,0.226,9.557142857142857,0,0,7
2023-03-26,16.04285714285714,17.95714285714286,14.328571428571427,3.6285714285714317,83.0,0.31357142857142856,6.042857142857141,0,0,7
2023-03-27,15.657142857142857,18.400000000000002,13.657142857142857,4.7428571428571455,80.42857142857143,0.3458571428571429,5.657142857142857,0,0,7
2023-03-28,15.357142857142858,16.54285714285714,14.385714285714286,2.157142857142855,80.71428571428571,0.3365714285714286,5.357142857142858,0,0,7
2023-03-29,15.62857142857143,17.400000000000002,13.971428571428572,3.4285714285714306,85.42857142857143,0.3404285714285714,5.62857142857143,0,0,7
2023-03-30,18.557142857142857,22.900000000000002,15.014285714285714,7.885714285714288,78.42857142857143,0.32942857142857146,8.557142857142857,0,0,7
2023-03-31,20.87142857142857,24.614285714285717,17.2,7.414285714285718,80.28571428571429,0.3148571428571429,10.87142857142857,0,0,7
2023-04-01,21.62857142857143,23.900000000000002,19.47142857142857,4.428571428571431,87.85714285714286,0.31142857142857144,11.62857142857143,0,0,7
2023-04-02,24.714285714285715,29.7,21.32857142857143,8.37142857142857,83.85714285714286,0.3191428571428571,14.714285714285715,0,0,7
2023-04-03,25.442857142857143,30.5,21.400000000000002,9.099999999999998,80.85714285714286,0.3072857142857143,15.442857142857143,0,0,7
2023-04-04,26.857142857142858,32.31428571428571,22.87142857142857,9.44285714285714,76.28571428571429,0.29085714285714287,16.857142857142858,0,0,7
2023-04-05,27.385714285714283,33.957142857142856,21.342857142857145,12.61428571428571,73.0,0.2712857142857143,17.385714285714283,0,0,7
2023-04-06,21.37142857142857,23.285714285714285,18.900000000000002,4.385714285714283,74.0,0.2641428571428571,11.37142857142857,0,0,7
2023-04-07,20.614285714285717,25.0,16.814285714285713,8.185714285714287,59.142857142857146,0.25857142857142856,10.614285714285717,0,0,7
2023-04-08,18.357142857142858,21.52857142857143,16.614285714285714,4.914285714285715,72.57142857142857,0.26457142857142857,8.357142857142858,0,0,7
2023-04-09,18.04285714285714,19.87142857142857,16.257142857142856,3.614285714285714,79.28571428571429,0.2752857142857143,8.042857142857141,0,0,7
2023-04-10,20.12857142857143,22.87142857142857,17.742857142857144,5.128571428571426,89.57142857142857,0.30257142857142855,10.12857142857143,0,0,7
2023-04-11,23.785714285714285,28.057142857142857,20.0,8.057142857142857,88.0,0.314,13.785714285714285,0,0,7
2023-04-12,24.914285714285715,29.12857142857143,21.7,7.428571428571431,85.14285714285714,0.3127142857142857,14.914285714285715,0,0,7
2023-04-13,24.842857142857145,28.12857142857143,22.37142857142857,5.75714285714286,85.0,0.3111428571428571,14.842857142857145,0,0,7
2023-04-14,25.214285714285715,29.142857142857142,22.642857142857142,6.5,86.71428571428571,0.31757142857142856,15.214285714285715,0,0,7
2023-04-15,24.571428571428573,28.8,22.0,6.800000000000001,78.28571428571429,0.34514285714285714,14.571428571428573,0,0,7
2023-04-16,24.514285714285712,30.642857142857142,17.785714285714285,12.857142857142858,73.0,0.31585714285714284,14.514285714285712,0,0,7
2023-04-17,25.057142857142857,29.185714285714287,20.7,8.485714285714288,80.28571428571429,0.2951428571428571,15.057142857142857,0,0,7
2023-04-18,27.642857142857142,32.971428571428575,23.67142857142857,9.300000000000004,78.57142857142857,0.28785714285714287,17.642857142857142,0,0,7
2023-04-19,27.428571428571427,32.31428571428571,22.957142857142856,9.357142857142854,79.42857142857143,0.284,17.428571428571427,0,0,7
2023-04-20,27.25714285714286,31.542857142857144,23.114285714285717,8.428571428571427,81.57142857142857,0.2735714285714286,17.25714285714286,0,0,7
2023-04-21,28.057142857142857,33.95714285714286,23.385714285714283,10.57142857142858,79.14285714285714,0.2631428571428571,18.057142857142857,0,0,7
